complaint_id,complaint_time,victim_acc,atm_id,lat,lon,narrative
cddfd939,2024-02-23 16:10:00,A36355,ATM_0193,28.603656352401714,77.25768651963791,Unauthorized withdrawal complaint
41c3b067,2024-02-05 08:40:00,A14141,ATM_0112,28.66339708367673,77.27011372168225,Unauthorized withdrawal complaint
ce3ef8a7,2024-01-12 20:36:00,A30834,ATM_0021,28.62464040032058,77.01253631718781,Unauthorized withdrawal complaint
80b22ece,2024-01-11 18:47:00,A74149,ATM_0032,28.635061647054187,77.08886631086982,Unauthorized withdrawal complaint
c915cca2,2024-01-20 00:17:00,A23739,ATM_0073,28.483114279040766,77.14717861308476,Unauthorized withdrawal complaint
f06fd61d,2024-02-19 12:05:00,A33784,ATM_0168,28.546546718329584,76.99810283298845,Unauthorized withdrawal complaint
d5dfe9d6,2024-01-12 01:58:00,A52822,ATM_0029,28.691629762953152,76.94774527227626,Unauthorized withdrawal complaint
3dd6818e,2024-01-07 03:17:00,A87137,ATM_0167,28.784546395372864,77.04636330643814,Unauthorized withdrawal complaint
2077a4ac,2024-01-21 14:52:00,A53947,ATM_0023,28.889964419184384,77.19316005322013,Unauthorized withdrawal complaint
bedf2ac3,2024-01-03 19:52:00,A61852,ATM_0007,28.48246310110483,76.96963960924015,Unauthorized withdrawal complaint
238cf6fb,2024-02-18 14:15:00,A63260,ATM_0128,28.892812978162443,77.05373810085567,Unauthorized withdrawal complaint
53e72991,2024-01-08 00:11:00,A56323,ATM_0052,28.849278977748227,77.05459880598332,Unauthorized withdrawal complaint
b669af3f,2024-02-29 14:37:00,A81483,ATM_0110,28.521623979854244,77.17696559364778,Unauthorized withdrawal complaint
5c088baf,2024-01-18 08:46:00,A41721,ATM_0066,28.701648714558416,76.86415327826172,Unauthorized withdrawal complaint
aaf8c91d,2024-01-05 20:47:00,A60459,ATM_0068,28.464486538717647,77.05849176824744,Unauthorized withdrawal complaint
26e61170,2024-02-22 10:04:00,A47854,ATM_0154,28.43722022451195,76.80779176397719,Unauthorized withdrawal complaint
91203f10,2024-02-04 01:29:00,A35219,ATM_0053,28.656445183113036,77.28210307058383,Unauthorized withdrawal complaint
2f23445a,2024-01-03 08:17:00,A42809,ATM_0055,28.60969098119266,77.14282991073334,Unauthorized withdrawal complaint
e19af1a7,2024-01-26 17:26:00,A75744,ATM_0144,28.594934008348165,76.9076807005308,Unauthorized withdrawal complaint
235172ea,2024-02-28 23:19:00,A58986,ATM_0041,28.887383192800126,76.87485456851816,Unauthorized withdrawal complaint
e192b954,2024-01-26 11:26:00,A37234,ATM_0029,28.691629762953152,76.94774527227626,Unauthorized withdrawal complaint
66625ff9,2024-02-14 19:58:00,A30953,ATM_0001,28.628898652589637,76.99726578961979,Unauthorized withdrawal complaint
b428f2c1,2024-02-14 17:40:00,A72229,ATM_0060,28.487293506753474,77.2007399922464,Unauthorized withdrawal complaint
45333258,2024-01-07 17:47:00,A78765,ATM_0167,28.784546395372864,77.04636330643814,Unauthorized withdrawal complaint
b05f960a,2024-02-12 22:48:00,A98965,ATM_0122,28.88503954876224,76.81413193239713,Unauthorized withdrawal complaint
