txn_id,atm_id,txn_time,amount,from_acc,to_acc,is_fraud
db42b334,ATM_0175,2024-02-19 21:20:00,2000,A41751,A23173,False
877b7133,ATM_0039,2024-01-09 17:43:00,1000,A74670,A29766,False
3c6c0813,ATM_0189,2024-02-20 17:11:00,500,A73974,A15489,False
ee322fc5,ATM_0195,2024-01-06 14:41:00,500,A92235,A21741,False
7039da46,ATM_0105,2024-02-03 11:19:00,1000,A66493,A81555,False
5403eb6c,ATM_0017,2024-02-19 14:20:00,500,A76872,A19933,False
250d9afc,ATM_0183,2024-02-25 09:04:00,500,A20361,A39710,False
1a4c3ff0,ATM_0065,2024-01-29 02:59:00,1000,A49219,A85413,False
cbb763c9,ATM_0150,2024-01-24 05:38:00,5000,A18813,A77842,False
be7850a4,ATM_0153,2024-02-24 05:43:00,2000,A52156,A38732,False
1805236c,ATM_0143,2024-02-24 04:43:00,500,A81869,A58431,False
054ff533,ATM_0044,2024-01-26 18:53:00,2000,A36892,A95298,False
47db3996,ATM_0112,2024-02-01 11:25:00,5000,A42275,A90182,False
51ec4be4,ATM_0193,2024-02-21 17:10:00,2000,A36355,A50100,True
e5d866f3,ATM_0082,2024-02-01 14:03:00,5000,A44554,A97567,False
cd0c7dcc,ATM_0174,2024-01-26 10:49:00,5000,A62251,A11327,False
83fc0830,ATM_0116,2024-02-25 20:38:00,5000,A14655,A87123,False
faffb5db,ATM_0104,2024-01-02 10:51:00,5000,A65797,A26493,False
cba125c1,ATM_0069,2024-02-23 21:39:00,10000,A56774,A28315,False
f13249f0,ATM_0077,2024-02-22 09:31:00,2000,A35688,A52201,False
0346b817,ATM_0179,2024-01-21 20:56:00,500,A83394,A37991,False
205c310f,ATM_0070,2024-01-26 13:10:00,500,A28569,A48246,False
c457a8be,ATM_0198,2024-02-13 01:42:00,500,A66813,A21283,False
160d2024,ATM_0147,2024-01-15 05:20:00,1000,A51592,A80492,False
52bd0e2c,ATM_0090,2024-02-13 00:32:00,1000,A91260,A14197,False
c802a87c,ATM_0038,2024-01-26 04:37:00,5000,A15059,A42019,False
1c59b291,ATM_0112,2024-02-04 00:40:00,5000,A14141,A18864,True
3ead679b,ATM_0135,2024-02-29 21:53:00,500,A63589,A24552,False
43435e21,ATM_0026,2024-01-21 12:37:00,1000,A65714,A39809,False
b0b74b53,ATM_0013,2024-01-29 17:25:00,1000,A43003,A82164,False
c5717430,ATM_0105,2024-01-28 09:08:00,1000,A37237,A28503,False
99fcc38e,ATM_0142,2024-01-17 07:49:00,1000,A38172,A94403,False
6da78fed,ATM_0071,2024-02-28 01:24:00,5000,A34735,A66835,False
579f7a89,ATM_0102,2024-02-27 08:38:00,5000,A53434,A81610,False
ec783afe,ATM_0108,2024-02-23 16:02:00,5000,A49919,A47191,False
ac931d0f,ATM_0135,2024-02-12 16:08:00,2000,A99968,A24674,False
543e1c55,ATM_0139,2024-02-20 08:04:00,1000,A68201,A43489,False
1e9338c5,ATM_0068,2024-01-25 01:32:00,2000,A52035,A47315,False
a4d07eef,ATM_0032,2024-02-19 18:06:00,2000,A33753,A34542,False
0f04651e,ATM_0073,2024-02-12 15:28:00,500,A73728,A69386,False
9c1aacca,ATM_0078,2024-02-19 17:54:00,500,A25411,A68897,False
3aaa7b89,ATM_0064,2024-01-01 14:22:00,1000,A48806,A41257,False
5182a912,ATM_0167,2024-01-06 12:09:00,500,A62187,A20277,False
2204f6dd,ATM_0058,2024-01-30 02:55:00,5000,A60785,A46538,False
04ac2578,ATM_0041,2024-01-03 15:31:00,5000,A67732,A47789,False
bcaa77c5,ATM_0021,2024-01-12 06:36:00,2000,A30834,A53764,True
74ed9dc3,ATM_0033,2024-01-30 09:01:00,10000,A59044,A75971,False
7e8df0f9,ATM_0186,2024-01-06 18:51:00,500,A25474,A25942,False
f25dd49c,ATM_0051,2024-02-23 06:53:00,500,A58917,A79729,False
3bddc0cf,ATM_0004,2024-02-29 00:13:00,500,A27046,A16911,False
9346b2b4,ATM_0012,2024-01-01 05:05:00,1000,A88874,A32071,False
940f81ff,ATM_0043,2024-02-13 06:10:00,500,A35776,A36528,False
82686c49,ATM_0114,2024-02-14 04:35:00,500,A60678,A88544,False
fbf3ebfa,ATM_0013,2024-01-31 22:47:00,1000,A64833,A72416,False
ca2cdf33,ATM_0128,2024-02-20 11:07:00,500,A20424,A16776,False
30ceae90,ATM_0115,2024-01-21 09:58:00,500,A57006,A56504,False
3510dcc0,ATM_0050,2024-01-23 15:27:00,2000,A91038,A99994,False
760c016d,ATM_0069,2024-01-07 00:35:00,2000,A47535,A72762,False
8656cc2c,ATM_0103,2024-02-06 14:14:00,500,A38092,A75698,False
52825db3,ATM_0032,2024-01-11 15:47:00,2000,A74149,A19797,True
26354c6a,ATM_0058,2024-01-13 06:33:00,500,A27148,A80597,False
12ec4fa8,ATM_0132,2024-02-13 07:23:00,2000,A52748,A80368,False
11568747,ATM_0013,2024-02-27 10:20:00,500,A21324,A15113,False
57c90d0c,ATM_0155,2024-01-11 05:50:00,2000,A98898,A78538,False
64bc623e,ATM_0114,2024-02-13 13:17:00,10000,A69628,A20038,False
b0ab9304,ATM_0152,2024-02-11 03:50:00,500,A17804,A77749,False
542a6dcb,ATM_0001,2024-02-10 10:01:00,1000,A70712,A54226,False
fad4d157,ATM_0037,2024-02-21 15:08:00,500,A32551,A60049,False
71197113,ATM_0073,2024-02-24 11:05:00,2000,A81621,A94963,False
baee8cbf,ATM_0010,2024-02-29 05:52:00,5000,A17461,A91538,False
d9fca030,ATM_0053,2024-01-26 00:06:00,1000,A26157,A35879,False
b53f7313,ATM_0177,2024-01-15 00:30:00,1000,A15956,A91643,False
dee82f08,ATM_0111,2024-02-02 14:29:00,500,A57188,A96964,False
5fbc9c52,ATM_0075,2024-02-19 19:15:00,500,A52797,A14408,False
925e98ba,ATM_0000,2024-01-14 18:30:00,2000,A95548,A52182,False
98047e28,ATM_0006,2024-02-19 08:11:00,2000,A49193,A35335,False
5d7b6292,ATM_0031,2024-01-23 00:21:00,5000,A41420,A73580,False
749b91c2,ATM_0001,2024-02-05 22:58:00,500,A64115,A50897,False
53e181f6,ATM_0026,2024-02-10 21:33:00,1000,A92841,A71954,False
b317001d,ATM_0197,2024-01-11 00:01:00,2000,A88013,A77476,False
36b480b9,ATM_0158,2024-02-17 08:37:00,2000,A91914,A36695,False
d9720773,ATM_0086,2024-01-19 16:44:00,500,A40369,A60933,False
479eba54,ATM_0112,2024-02-23 14:37:00,2000,A95738,A12034,False
2d240de0,ATM_0028,2024-02-29 05:17:00,2000,A93171,A21936,False
52ff6f8b,ATM_0037,2024-01-06 03:38:00,1000,A75891,A56609,False
6a0a476d,ATM_0100,2024-01-06 22:32:00,1000,A26772,A70252,False
eee963bb,ATM_0165,2024-02-12 12:38:00,500,A97147,A85684,False
3a7abc10,ATM_0094,2024-02-14 07:44:00,1000,A69308,A31148,False
2ecb7dfe,ATM_0002,2024-02-01 19:52:00,1000,A13672,A46996,False
3c80bcd6,ATM_0063,2024-01-18 17:39:00,500,A24540,A82764,False
e60b04f8,ATM_0079,2024-01-30 02:37:00,500,A84247,A73966,False
3bed9742,ATM_0171,2024-01-13 16:15:00,1000,A38046,A37190,False
e90e5f4f,ATM_0053,2024-02-18 10:21:00,1000,A45831,A14528,False
6d83f363,ATM_0081,2024-02-09 11:20:00,500,A73987,A57512,False
fc825922,ATM_0166,2024-02-13 11:00:00,5000,A60041,A54353,False
2267f09a,ATM_0002,2024-01-29 03:57:00,500,A51055,A15340,False
c3f28cf8,ATM_0196,2024-02-28 03:03:00,500,A99530,A15991,False
e290a5f1,ATM_0093,2024-02-12 09:42:00,1000,A21753,A38658,False
4df77265,ATM_0190,2024-01-29 09:37:00,2000,A23379,A57001,False
c3b81c4e,ATM_0064,2024-01-06 13:11:00,1000,A49163,A97906,False
3b9e767c,ATM_0120,2024-01-20 22:24:00,2000,A84226,A51534,False
f97fe9b2,ATM_0010,2024-01-28 15:26:00,5000,A80682,A54642,False
6eb4dd5e,ATM_0043,2024-01-05 09:13:00,2000,A22930,A68139,False
037edb62,ATM_0007,2024-02-14 23:58:00,500,A81272,A60959,False
cffded0b,ATM_0195,2024-02-22 18:13:00,10000,A94257,A25593,False
b50c6a4a,ATM_0186,2024-02-22 21:16:00,1000,A82361,A38476,False
c24dc4eb,ATM_0117,2024-02-17 09:05:00,1000,A79571,A92539,False
ed5e93f6,ATM_0079,2024-01-23 18:18:00,2000,A50049,A40267,False
b6112643,ATM_0126,2024-01-18 10:03:00,2000,A80146,A77701,False
f585c6d3,ATM_0058,2024-02-03 04:56:00,1000,A71458,A13686,False
60d6d8d2,ATM_0194,2024-01-29 04:46:00,1000,A20977,A85549,False
b6b593ef,ATM_0126,2024-01-02 22:59:00,10000,A27012,A96023,False
75c0351c,ATM_0088,2024-01-21 00:48:00,5000,A63809,A17917,False
a6b21083,ATM_0131,2024-01-30 01:59:00,2000,A83556,A12190,False
853432df,ATM_0187,2024-01-24 09:55:00,2000,A23524,A81279,False
d9c0af8f,ATM_0125,2024-02-28 12:10:00,500,A58851,A88080,False
8c4455a5,ATM_0148,2024-01-10 00:59:00,5000,A24996,A59756,False
561809b9,ATM_0121,2024-01-27 12:40:00,2000,A30562,A66355,False
b280f06f,ATM_0084,2024-01-07 18:40:00,500,A62343,A20810,False
e2b0dc26,ATM_0114,2024-01-14 20:05:00,1000,A53226,A51880,False
3b455538,ATM_0084,2024-02-29 00:35:00,2000,A93005,A97026,False
dc4d1264,ATM_0067,2024-01-10 11:47:00,2000,A37328,A76444,False
45e5697a,ATM_0086,2024-01-09 07:35:00,2000,A90281,A66255,False
086d260d,ATM_0034,2024-01-31 05:19:00,1000,A18570,A89252,False
f6ed25fc,ATM_0195,2024-02-19 09:30:00,500,A29431,A30266,False
7aa4e3cd,ATM_0158,2024-01-05 06:59:00,1000,A41074,A36477,False
